c	countryLabelEn	countryLabelFi	countryLabelSv	countryLabelDe	countryLabelFr	countryLabelIt
http://www.wikidata.org/entity/Q48	Asia	Aasia	Asien	Asien	Asie	Asia
http://www.wikidata.org/entity/Q15	Africa	Afrikka	Afrika	Afrika	Afrique	Africa
http://www.wikidata.org/entity/Q49	North America	Pohjois-Amerikka	Nordamerika	Nordamerika	Amérique du Nord	America del Nord
http://www.wikidata.org/entity/Q46	Europe	Eurooppa	Europa	Europa	Europe	Europa
http://www.wikidata.org/entity/Q18	South America	Etelä-Amerikka	Sydamerika	Südamerika	Amérique du Sud	America meridionale
http://www.wikidata.org/entity/Q538	insular Oceania	Oseania	Oceanien	Ozeanien	Océanie	Oceania
http://www.wikidata.org/entity/Q828	Americas	Amerikan manner	Amerika	Amerika	Amérique	America
http://www.wikidata.org/entity/Q5401	Eurasia	Euraasia	Eurasien	Eurasien	Eurasie	Eurasia
http://www.wikidata.org/entity/Q27611	Central America	Keski-Amerikka	Centralamerika	Zentralamerika	Amérique centrale	America centrale
