Gustav Stresemann	male	Nobel Peace Prize	1926-01-01T00:00:00Z	1878-05-10T00:00:00Z	Berlin	Germany	1929-10-03T00:00:00Z
Tawakel Karman	female	Nobel Peace Prize	2011-01-01T00:00:00Z	1979-02-07T00:00:00Z	Ta'izz	Yemen	
Lester B. Pearson	male	Nobel Peace Prize	1957-01-01T00:00:00Z	1897-04-23T00:00:00Z	Toronto	Canada	1972-12-27T00:00:00Z
Menachem Begin	male	Nobel Peace Prize	1978-01-01T00:00:00Z	1913-08-16T00:00:00Z	Brest	Belarus	1992-03-09T00:00:00Z
Mohamed ElBaradei	male	Nobel Peace Prize	2005-01-01T00:00:00Z	1942-06-17T00:00:00Z	Cairo	Egypt	
F. W. de Klerk	male	Nobel Peace Prize	1993-01-01T00:00:00Z	1936-03-18T00:00:00Z	Johannesburg	South Africa	
Alva Myrdal	female	Nobel Peace Prize	1982-01-01T00:00:00Z	1902-01-31T00:00:00Z	Uppsala Cathedral Assembly	Sweden	1986-02-01T00:00:00Z
Norman Borlaug	male	Nobel Peace Prize	1970-01-01T00:00:00Z	1914-03-25T00:00:00Z	Cresco	United States of America	2009-09-12T00:00:00Z
Mairead Maguire	female	Nobel Peace Prize	1976-01-01T00:00:00Z	1944-01-27T00:00:00Z	Belfast	United Kingdom	
Betty Williams	female	Nobel Peace Prize	1976-01-01T00:00:00Z	1943-05-22T00:00:00Z	Belfast	United Kingdom	2020-03-17T00:00:00Z
Nathan Söderblom	male	Nobel Peace Prize	1930-01-01T00:00:00Z	1866-01-15T00:00:00Z	Trönö	Sweden	1931-07-12T00:00:00Z
John Mott	male	Nobel Peace Prize	1946-01-01T00:00:00Z	1865-05-25T00:00:00Z	New York City	United States of America	1955-01-31T00:00:00Z
Eisaku Satō	male	Nobel Peace Prize	1974-01-01T00:00:00Z	1901-03-27T00:00:00Z	Tabuse	Japan	1975-06-03T00:00:00Z
Aristide Briand	male	Nobel Peace Prize	1926-01-01T00:00:00Z	1862-03-28T00:00:00Z	Nantes	France	1932-03-07T00:00:00Z
Jane Addams	female	Nobel Peace Prize	1931-01-01T00:00:00Z	1860-09-06T00:00:00Z	Cedarville	United States of America	1935-05-21T00:00:00Z
Rigoberta Menchú	female	Nobel Peace Prize	1992-01-01T00:00:00Z	1959-01-09T00:00:00Z	Laj Chimel	Guatemala	
Austen Chamberlain	male	Nobel Peace Prize	1925-01-01T00:00:00Z	1863-10-16T00:00:00Z	Birmingham	United Kingdom	1937-03-16T00:00:00Z
Randal Cremer	male	Nobel Peace Prize	1903-01-01T00:00:00Z	1828-03-18T00:00:00Z	Fareham	United Kingdom	1908-07-22T00:00:00Z
Henri La Fontaine	male	Nobel Peace Prize	1913-01-01T00:00:00Z	1854-04-22T00:00:00Z	City of Brussels	Belgium	1943-05-14T00:00:00Z
Fredrik Bajer	male	Nobel Peace Prize	1908-01-01T00:00:00Z	1837-04-21T00:00:00Z	Vester Egede	Denmark	1922-01-22T00:00:00Z
David Trimble	male	Nobel Peace Prize	1998-01-01T00:00:00Z	1944-10-15T00:00:00Z	Bangor	United Kingdom	
Klas Pontus Arnoldson	male	Nobel Peace Prize	1908-01-01T00:00:00Z	1844-10-21T00:00:00Z	Domkyrkoförsamlingen in Göteborg	Sweden	1916-02-20T00:00:00Z
Frank B. Kellogg	male	Nobel Peace Prize	1929-01-01T00:00:00Z	1856-12-22T00:00:00Z	Potsdam	United States of America	1937-12-21T00:00:00Z
Carlos Saavedra Lamas	male	Nobel Peace Prize	1936-01-01T00:00:00Z	1878-11-01T00:00:00Z	Buenos Aires	Argentina	1959-05-05T00:00:00Z
Auguste Beernaert	male	Nobel Peace Prize	1909-01-01T00:00:00Z	1829-07-26T00:00:00Z	Ostend	Belgium	1912-10-06T00:00:00Z
Cordell Hull	male	Nobel Peace Prize	1945-01-01T00:00:00Z	1871-10-02T00:00:00Z	Pickett County	United States of America	1955-07-23T00:00:00Z
Cordell Hull	male	Nobel Peace Prize	1945-01-01T00:00:00Z	1871-10-02T00:00:00Z	Olympus	United States of America	1955-07-23T00:00:00Z
Alfonso García Robles	male	Nobel Peace Prize	1982-01-01T00:00:00Z	1911-03-20T00:00:00Z	Zamora de Hidalgo	Mexico	1991-09-02T00:00:00Z
Christian Lous Lange	male	Nobel Peace Prize	1921-01-01T00:00:00Z	1869-09-17T00:00:00Z	Stavanger	Norway	1938-12-11T00:00:00Z
Adolfo Pérez Esquivel	male	Nobel Peace Prize	1980-01-01T00:00:00Z	1931-11-26T00:00:00Z	Buenos Aires	Argentina	
Jody Williams	female	Nobel Peace Prize	1997-01-01T00:00:00Z	1950-10-09T00:00:00Z	Brattleboro	United States of America	
Albert John Mvumbi Luthuli	male	Nobel Peace Prize	1960-01-01T00:00:00Z	1898-01-01T00:00:00Z	Bulawayo	Zimbabwe	1967-07-21T00:00:00Z
Albert John Mvumbi Luthuli	male	Nobel Peace Prize	1960-01-01T00:00:00Z	1898-01-01T00:00:00Z	Bulawayo	Rhodesia	1967-07-21T00:00:00Z
Albert John Mvumbi Luthuli	male	Nobel Peace Prize	1960-01-01T00:00:00Z	1898-01-01T00:00:00Z	Bulawayo	Southern Rhodesia	1967-07-21T00:00:00Z
Albert John Mvumbi Luthuli	male	Nobel Peace Prize	1960-01-01T00:00:00Z	1898-01-01T00:00:00Z	Bulawayo	Zimbabwe Rhodesia	1967-07-21T00:00:00Z
Emily Greene Balch	female	Nobel Peace Prize	1946-01-01T00:00:00Z	1867-01-08T00:00:00Z	Jamaica Plain	United States of America	1961-01-09T00:00:00Z
Tobias Asser	male	Nobel Peace Prize	1911-01-01T00:00:00Z	1838-04-28T00:00:00Z	Amsterdam	Netherlands	1913-06-29T00:00:00Z
Tobias Asser	male	Nobel Peace Prize	1911-01-01T00:00:00Z	1838-04-28T00:00:00Z	Amsterdam	Kingdom of the Netherlands	1913-06-29T00:00:00Z
Tobias Asser	male	Nobel Peace Prize	1911-01-01T00:00:00Z	1838-04-28T00:00:00Z	Amsterdam	Netherlands	1913-07-29T00:00:00Z
Tobias Asser	male	Nobel Peace Prize	1911-01-01T00:00:00Z	1838-04-28T00:00:00Z	Amsterdam	Kingdom of the Netherlands	1913-07-29T00:00:00Z
Joseph Rotblat	male	Nobel Peace Prize	1995-01-01T00:00:00Z	1908-11-04T00:00:00Z	Warsaw	Poland	2005-08-31T00:00:00Z
Elihu Root	male	Nobel Peace Prize	1912-01-01T00:00:00Z	1845-02-15T00:00:00Z	Clinton	United States of America	1937-02-07T00:00:00Z
Louis Renault	male	Nobel Peace Prize	1907-01-01T00:00:00Z	1843-05-21T00:00:00Z	Autun	France	1918-02-08T00:00:00Z
René Cassin	male	Nobel Peace Prize	1968-01-01T00:00:00Z	1887-10-05T00:00:00Z	Bayonne	France	1976-02-20T00:00:00Z
Le Duc Tho	male	Nobel Peace Prize	1973-01-01T00:00:00Z	1911-10-14T00:00:00Z	Hà Nam	Vietnam	1990-10-13T00:00:00Z
Seán MacBride	male	Nobel Peace Prize	1974-01-01T00:00:00Z	1904-01-26T00:00:00Z	Paris	France	1988-01-15T00:00:00Z
Nicholas Murray Butler	male	Nobel Peace Prize	1931-01-01T00:00:00Z	1862-04-02T00:00:00Z	Elizabeth	United States of America	1947-12-07T00:00:00Z
Norman Angell	male	Nobel Peace Prize	1933-01-01T00:00:00Z	1872-12-26T00:00:00Z	Holbeach	United Kingdom	1967-10-07T00:00:00Z
Ferdinand Buisson	male	Nobel Peace Prize	1927-01-01T00:00:00Z	1841-12-20T00:00:00Z	Paris	France	1932-02-16T00:00:00Z
John Boyd Orr, 1st Baron Boyd-Orr	male	Nobel Peace Prize	1949-01-01T00:00:00Z	1880-09-23T00:00:00Z	Kilmaurs	United Kingdom	1971-06-25T00:00:00Z
